date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-04-13,174.73,175.84,173.85,174.78,25124255,41.4723585705539,41.7358182970651,41.2634895981846,41.4842261258021,100497020,0.0,1.0
2018-04-16,175.82,176.19,174.83,175.03,21578420,41.7310712749658,41.8188911838029,41.4960936810504,41.5435639020434,86313680,0.0,1.0
2018-04-17,178.24,178.94,176.41,176.49,26605442,42.3054609489814,42.471606722457,41.8711084268952,41.8900965152925,106421768,0.0,1.0
2018-04-18,177.84,178.82,176.88,177.81,20754538,42.2105205069954,42.4431245898612,41.9826634462289,42.2033999738464,83018152,0.0,1.0
2018-04-19,172.8,175.39,172.66,173.76,34808800,41.0142709379712,41.6290102998308,40.9810417832761,41.2421279987377,139235200,0.0,1.0
2018-04-20,165.72,171.22,165.43,170.6,65491140,39.3338251148182,40.6392561921263,39.2649932943783,40.492098507048,261964560,0.0,1.0
2018-04-23,165.24,166.92,164.09,166.83,36515477,39.219896584435,39.6186464407763,38.9469428137251,39.5972848413295,146061908,0.0,1.0
2018-04-24,162.94,166.33,161.22,165.67,33692017,38.6739890430152,39.4786092888469,38.2657451424752,39.32195755957,134768068,0.0,1.0
2018-04-25,163.65,165.42,162.41,162.62,28382084,38.8425083275404,39.2626197833287,38.5481929573837,38.5980366894264,113528336,0.0,1.0
2018-04-26,164.22,165.73,163.37,164.12,27963014,38.9777984573705,39.3361986258679,38.7760500181502,38.954063346874,111852056,0.0,1.0
2018-04-27,162.32,164.33,160.63,164.0,35655839,38.5268313579368,39.0039070789167,38.1257079905458,38.9255812142782,142623356,0.0,1.0
2018-04-30,165.26,167.26,161.84,162.13,42427424,39.2246436065343,39.6993458164645,38.4129028275536,38.4817346479935,169709696,0.0,1.0
2018-05-01,169.1,169.2,165.27,166.41,53569376,40.1360718496003,40.1598069600968,39.2270171175839,39.4975973772441,214277504,0.0,1.0
2018-05-02,176.57,177.75,173.8,175.23,66539371,41.9090846036897,42.1891589075485,41.2516220429363,41.5910341230364,266157484,0.0,1.0
